weights	bm	time	count
1 0 0 0	adult_01	4.792481899261475	18729
1 0 0 0	adult_02	18.391182899475098	60644
1 0 0 0	adult_03	0.28940296173095703	1813
1 0 0 0	adult_04	15.057029962539673	41063
1 0 0 0	adult_05	60
1 0 0 0	adult_06	60
1 0 0 0	adult_07	60
1 1 0 0	adult_01	4.811721086502075	24096
1 1 0 0	adult_02	13.367710828781128	56957
1 1 0 0	adult_03	0.23737120628356934	1717
1 1 0 0	adult_04	12.383810997009277	41684
1 1 0 0	adult_05	60
1 1 0 0	adult_06	60
1 1 0 0	adult_07	60
1 1 1 0	adult_01	5.094523191452026	25720
1 1 1 0	adult_02	13.143539905548096	54658
1 1 1 0	adult_03	0.3379988670349121	2294
1 1 1 0	adult_04	10.24852991104126	34069
1 1 1 0	adult_05	60
1 1 1 0	adult_06	60
1 1 1 0	adult_07	60
2 1 0 0	adult_01	253.71906399726868	23141
2 1 0 0	adult_02	23.761549949645996	71131
2 1 0 0	adult_03	0.3118288516998291	1857
2 1 0 0	adult_04	8.706844091415405	29688
2 1 0 0	adult_05	60
2 1 0 0	adult_06	60
2 1 0 0	adult_07	60
1 2 0 0	adult_01	7.9490039348602295	36701
1 2 0 0	adult_02	13.756633043289185	57758
1 2 0 0	adult_03	0.16916799545288086	1320
1 2 0 0	adult_04	26.827311992645264	76849
1 2 0 0	adult_05	60
1 2 0 0	adult_06	60
1 2 0 0	adult_07	60
2 1 1 0	adult_01	4.718354225158691	23251
2 1 1 0	adult_02	19.691613912582397	73662
2 1 1 0	adult_03	0.24366211891174316	1716
2 1 1 0	adult_04	8.21956992149353	28812
2 1 1 0	adult_05	60
2 1 1 0	adult_06	60
2 1 1 0	adult_07	60
1 2 1 0	adult_01	8.411792039871216	34706
1 2 1 0	adult_02	14.065967082977295	54702
1 2 1 0	adult_03	0.1867659091949463	1345
1 2 1 0	adult_04	29.315853118896484	81111
1 2 1 0	adult_05	60
1 2 1 0	adult_06	60
1 2 1 0	adult_07	60
1 1 2 0	adult_01	6.971798896789551	23480
1 1 2 0	adult_02	12.464022874832153	49382
1 1 2 0	adult_03	0.26434898376464844	1860
1 1 2 0	adult_04	11.193778038024902	36552
1 1 2 0	adult_05	60
1 1 2 0	adult_06	60
1 1 2 0	adult_07	60
